STT,MaSinhVien,LinkAvatar,HoTen,GioiTinh,SoDienThoai,NgaySinh,DanToc,SoCCCD,TinhThanhPho,QuanHuyen,QuocGia,DiaChiThuongTru,TrinhDoNgoaiNgu,TinhTrangHoc,MaNganh,NienKhoa,LoaiHinhDaoTao,LopSinhVien,ChucVu,CoVanHocTap,LH_CVHT,TenNganHang,SoTaiKhoan,EmailNganHang,TenNguoiThan,QuanHe,SDTNguoiThan,DiaChiNguoiThan
1,SV001,avatar1.jpg,Nguyễn Võ Thành Tín,Nam,901000001,1/1/2000,Kinh,1.23457E+11,HCM,Quan 1,Vietnam,123 Duong A,B1,Dang hoc,CNTT,2020-2024,Chinh quy,CNTT01,Lop truong,GV A,901111111,Vietcombank,1234567890,sv001@bank.com,Nguyen Thi X,Me,901111112,124 Duong A
2,SV002,avatar2.jpg,Bùi Ngọc Toàn,Nu,901000002,2/2/2000,Kinh,1.23457E+11,HCM,Quan 3,Vietnam,125 Duong B,B2,Dang hoc,CNTT,2020-2024,Chinh quy,CNTT01,Lop pho,GV A,901111111,Vietcombank,1234567891,sv002@bank.com,Nguyen Van Y,Cha,901111113,125 Duong B
3,SV003,avatar3.jpg,Hà Bảo Trân,Nam,901000003,3/3/2000,Kinh,1.23457E+11,HCM,Quan 5,Vietnam,126 Duong C,B1,Dang hoc,CNTT,2020-2024,Chinh quy,CNTT01,Sinh vien,GV A,901111111,Vietcombank,1234567892,sv003@bank.com,Tran Thi Z,Me,901111114,126 Duong C
4,SV004,avatar4.jpg,Bùi Thanh Phong,Nu,901000004,4/4/2000,Kinh,1.23457E+11,HCM,Quan 7,Vietnam,127 Duong D,B2,Dang hoc,CNTT,2020-2024,Chinh quy,CNTT01,Sinh vien,GV A,901111111,Vietcombank,1234567893,sv004@bank.com,Le Van T,Cha,901111115,127 Duong D
5,SV005,avatar5.jpg,Đặng Nhật Hào,Nam,901000005,5/5/2000,Kinh,1.23457E+11,HCM,Quan 9,Vietnam,128 Duong E,B1,Dang hoc,CNTT,2020-2024,Chinh quy,CNTT01,Sinh vien,GV A,901111111,Vietcombank,1234567894,sv005@bank.com,Pham Thi U,Me,901111116,128 Duong E
6,SV006,avatar6.jpg,Ho Thi F,Nu,901000006,6/6/2000,Kinh,1.23457E+11,HCM,Quan 10,Vietnam,129 Duong F,B2,Dang hoc,CNTT,2020-2024,Chinh quy,CNTT01,Sinh vien,GV A,901111111,Vietcombank,1234567895,sv006@bank.com,Ho Van V,Cha,901111117,129 Duong F
7,SV007,avatar7.jpg,Vo Van G,Nam,901000007,7/7/2000,Kinh,1.23457E+11,HCM,Quan 11,Vietnam,130 Duong G,B1,Dang hoc,CNTT,2020-2024,Chinh quy,CNTT01,Sinh vien,GV A,901111111,Vietcombank,1234567896,sv007@bank.com,Vo Thi W,Me,901111118,130 Duong G
8,SV008,avatar8.jpg,Dang Thi H,Nu,901000008,8/8/2000,Kinh,1.23457E+11,HCM,Quan 12,Vietnam,131 Duong H,B2,Dang hoc,CNTT,2020-2024,Chinh quy,CNTT01,Sinh vien,GV A,901111111,Vietcombank,1234567897,sv008@bank.com,Dang Van X,Cha,901111119,131 Duong H
9,SV009,avatar9.jpg,Bui Van I,Nam,901000009,9/9/2000,Kinh,1.23457E+11,HCM,Quan Binh Thanh,Vietnam,132 Duong I,B1,Dang hoc,CNTT,2020-2024,Chinh quy,CNTT01,Sinh vien,GV A,901111111,Vietcombank,1234567898,sv009@bank.com,Bui Thi Y,Me,901111120,132 Duong I
10,SV010,avatar10.jpg,Nguyen Thi J,Nu,901000010,10/10/2000,Kinh,1.23457E+11,HCM,Quan Go Vap,Vietnam,133 Duong J,B2,Dang hoc,CNTT,2020-2024,Chinh quy,CNTT01,Sinh vien,GV A,901111111,Vietcombank,1234567899,sv010@bank.com,Nguyen Van Z,Cha,901111121,133 Duong J
11,SV011,avatar11.jpg,Nguyen Van K,Nam,901000011,11/11/2000,Kinh,1.23457E+11,HCM,Quan 1,Vietnam,134 Duong K,B1,Dang hoc,KT,2020-2024,Chinh quy,KT01,Lop truong,GV B,901111122,Vietcombank,1234567900,sv011@bank.com,Nguyen Thi A1,Me,901111123,134 Duong K
12,SV012,avatar12.jpg,Tran Thi L,Nu,901000012,12/12/2000,Kinh,1.23457E+11,HCM,Quan 3,Vietnam,135 Duong L,B2,Dang hoc,KT,2020-2024,Chinh quy,KT01,Lop pho,GV B,901111122,Vietcombank,1234567901,sv012@bank.com,Tran Van B1,Cha,901111124,135 Duong L
13,SV013,avatar13.jpg,Le Van M,Nam,901000013,1/1/2001,Kinh,1.23457E+11,HCM,Quan 5,Vietnam,136 Duong M,B1,Dang hoc,KT,2020-2024,Chinh quy,KT01,Sinh vien,GV B,901111122,Vietcombank,1234567902,sv013@bank.com,Le Thi C1,Me,901111125,136 Duong M
